Datum;Etagen
16.12.19 17:48;2.0
19.12.19 16:29;3.0
20.12.19 06:02;1.0
20.12.19 06:13;2.0
07.01.20 09:54;2.0
07.01.20 10:10;6.0
07.01.20 11:38;1.0
07.01.20 15:13;1.0
07.01.20 17:00;6.0
07.01.20 17:06;2.0
08.01.20 06:51;4.0
08.01.20 06:59;3.0
08.01.20 08:25;3.0
08.01.20 08:39;2.0
08.01.20 10:15;1.0
08.01.20 14:24;4.0
10.01.20 06:59;3.0
10.01.20 07:11;2.0
10.01.20 07:25;3.0
10.01.20 16:10;4.0
13.01.20 08:43;1.0
13.01.20 08:54;6.0
13.01.20 10:54;1.0
13.01.20 11:20;1.0
13.01.20 17:08;2.0
14.01.20 06:50;1.0
14.01.20 08:28;5.0
14.01.20 11:57;1.0
14.01.20 17:08;7.0
15.01.20 08:19;4.0
15.01.20 08:34;1.0
15.01.20 08:38;1.0
15.01.20 11:28;1.0
15.01.20 17:08;4.0
15.01.20 17:14;2.0
16.01.20 13:09;1.0
16.01.20 16:55;3.0
17.01.20 07:36;2.0
17.01.20 07:54;2.0
17.01.20 13:36;1.0
17.01.20 20:15;2.0
19.01.20 12:57;1.0
20.01.20 06:58;2.0
20.01.20 08:30;4.0
20.01.20 08:37;1.0
20.01.20 11:34;1.0
20.01.20 17:52;2.0
21.01.20 06:54;2.0
21.01.20 07:03;3.0
21.01.20 07:20;7.0
21.01.20 08:39;2.0
21.01.20 11:39;1.0
21.01.20 15:51;1.0
21.01.20 15:56;3.0
22.01.20 06:50;1.0
22.01.20 07:06;1.0
22.01.20 09:46;2.0
22.01.20 19:10;2.0
26.01.20 10:26;2.0
27.01.20 06:44;4.0
27.01.20 07:14;2.0
28.01.20 07:03;2.0
28.01.20 07:53;2.0
28.01.20 09:18;1.0
28.01.20 09:23;1.0
28.01.20 11:53;1.0
28.01.20 14:04;1.0
28.01.20 16:37;2.0
29.01.20 06:44;2.0
29.01.20 06:52;1.0
29.01.20 07:07;2.0
29.01.20 08:21;2.0
29.01.20 12:06;3.0
29.01.20 13:22;2.0
29.01.20 13:35;2.0
29.01.20 13:53;1.0
29.01.20 14:00;1.0
29.01.20 14:06;1.0
29.01.20 14:49;1.0
29.01.20 15:30;3.0
29.01.20 17:03;2.0
31.01.20 06:30;1.0
31.01.20 06:43;1.0
31.01.20 09:11;1.0
31.01.20 16:24;1.0
31.01.20 17:19;1.0
10.02.20 06:43;1.0
10.02.20 09:18;2.0
